time,raw,filtered,setpoint,error,output
21.559927940368652,417.5,411.56,408.45,-3.11,10.82
21.780086278915405,397.5,409.03,408.45,0.0,12.15
22.000293970108032,416.5,410.37,408.45,0.0,12.06
22.220444679260254,413.5,410.94,408.45,0.0,12.03
22.440654754638672,415.5,411.76,408.45,-3.31,10.62
22.659792184829712,396.5,409.01,408.45,0.0,12.03
22.879941940307617,416.5,410.36,408.45,0.0,11.95
23.100156545639038,418.5,411.82,408.45,-3.37,10.47
23.320422410964966,375.5,405.28,408.45,3.17,8.11
23.540417194366455,325.37,390.9,408.45,17.55,14.94
23.760558128356934,472.37,405.57,408.45,0.0,7.35
23.980714559555054,296.37,385.91,408.45,22.54,15.35
24.200852632522583,473.37,401.65,408.45,6.8,11.03
24.421000719070435,400.37,401.42,408.45,7.03,11.35
24.641156435012817,402.37,401.59,408.45,6.86,11.5
24.861393451690674,419.37,404.79,408.45,3.66,10.22
25.08155584335327,378.37,400.04,408.45,8.41,12.59
25.30170702934265,438.37,406.94,408.45,0.0,8.99
25.5218505859375,353.37,397.3,408.45,11.15,14.17
25.74100613594055,456.37,407.93,408.45,0.0,9.31
25.961169719696045,352.37,397.93,408.45,10.52,14.26
26.181314945220947,454.37,408.09,408.45,0.0,9.67
26.401512145996094,378.37,402.74,408.45,5.71,12.36
26.621543884277344,422.03,406.21,408.45,0.0,10.0
26.841723918914795,379.03,401.32,408.45,7.13,13.24
27.061882972717285,439.03,408.11,408.45,0.0,10.15
27.28103494644165,381.03,403.23,408.45,5.22,12.61
27.50132727622986,440.03,409.86,408.45,0.0,10.26
27.721435546875,380.03,404.49,408.45,3.96,12.24
27.94162082672119,423.03,407.83,408.45,0.0,10.55
28.16171669960022,402.03,406.78,408.45,0.0,10.63
28.381914615631104,404.03,406.29,408.45,0.0,10.66
28.60207176208496,401.03,405.34,408.45,3.11,12.01
28.821247100830078,421.03,408.17,408.45,0.0,10.68
29.04143500328064,404.03,407.42,408.45,0.0,10.74
29.26166296005249,400.03,406.09,408.45,0.0,10.82
29.481495141983032,402.03,405.36,408.45,3.09,12.14
29.701085805892944,424.02,408.72,408.45,0.0,10.78
29.92096209526062,404.02,407.87,408.45,0.0,10.85
30.140838861465454,404.02,407.18,408.45,0.0,10.9
