0.00,0
1.00,0
0.00,0
0.00,0
0.00,0
0.00,0
0.00,0
0.00,0
0.00,0
0.00,0
0.00,0
0.00,0
0.00,0
0.00,0
0.00,0
1.00,0
0.00,0
1.00,0
1.00,0
0.00,0
0.00,0
0.00,0
0.00,0
0.00,0
1.00,0
1.00,0
0.00,0
0.00,0
0.00,0
0.00,0
0.00,0
1.00,0
0.00,0
0.00,0
0.00,0
278.00,20
268.00,20
267.00,20
267.00,20
269.00,20
268.00,20
268.00,20
267.00,20
268.00,20
269.00,20
268.00,20
267.00,20
267.00,20
268.00,20
268.00,20
269.00,20
267.00,20
268.00,20
270.00,20
268.00,20
269.00,20
269.00,20
266.00,20
267.00,20
268.00,20
266.00,20
269.00,20
270.00,20
268.00,20
269.00,20
270.00,20
270.00,20
270.00,20
268.00,20
267.00,20
270.00,20
271.00,20
270.00,20
270.00,20
269.00,20
270.00,20
270.00,20
268.00,20
269.00,20
270.00,20
269.00,20
270.00,20
268.00,20
271.00,20
268.00,20
283.00,20
280.00,20
285.00,20
282.00,20
279.00,20
277.00,20
275.00,20
275.00,20
275.00,20
274.00,20
274.00,20
273.00,20
275.00,20
277.00,20
294.00,20
289.00,20
288.00,20
279.00,20
275.00,20
275.00,20
274.00,20
274.00,20
275.00,20
274.00,20
273.00,20
282.00,20
268.00,20
277.00,20
276.00,20
282.00,20
283.00,20
302.00,20
271.00,20
292.00,20
278.00,20
279.00,20
277.00,20
270.00,20
271.00,20
270.00,20
276.00,20
276.00,20
276.00,20
281.00,20
283.00,20
284.00,20
283.00,20
283.00,20
284.00,20
282.00,20
280.00,20
284.00,20
283.00,20
283.00,20
282.00,20
282.00,20
284.00,20
283.00,20
285.00,20
284.00,20
285.00,20
284.00,20
284.00,20
285.00,20
288.00,20
286.00,20
287.00,20
285.00,20
287.00,20
287.00,20
286.00,20
287.00,20
286.00,20
286.00,20
286.00,20
287.00,20
286.00,20
282.00,20
285.00,20
283.00,20
283.00,20
284.00,20
284.00,20
282.00,20
284.00,20
286.00,20
286.00,20
286.00,20
284.00,20
288.00,20
287.00,20
287.00,20
288.00,20
288.00,20
287.00,20
